iter	Passed	Remaining
406	5565	8109
407	5579	8096
408	5594	8084
409	5606	8068
410	5621	8056
411	5635	8043
412	5651	8031
413	5665	8019
414	5679	8006
415	5693	7992
416	5708	7981
417	5723	7968
418	5736	7954
419	5750	7941
420	5765	7929
421	5781	7919
422	5796	7906
423	5815	7900
424	5830	7888
425	5846	7877
426	5861	7865
427	5877	7854
428	5890	7840
429	5906	7829
430	5921	7817
431	5935	7803
432	5948	7789
433	5964	7778
434	5976	7762
435	5991	7750
436	6006	7738
437	6020	7725
438	6034	7711
439	6048	7697
440	6062	7684
441	6083	7680
442	6098	7668
443	6112	7654
444	6125	7639
445	6141	7628
446	6155	7615
447	6170	7602
448	6184	7589
449	6199	7576
450	6214	7564
451	6226	7549
452	6240	7535
453	6257	7525
454	6284	7527
455	6298	7513
456	6313	7501
457	6325	7486
458	6340	7473
459	6354	7459
460	6368	7445
461	6381	7431
462	6396	7418
463	6412	7407
464	6426	7393
465	6441	7381
466	6453	7365
467	6469	7354
468	6482	7338
469	6496	7326
470	6510	7311
471	6524	7298
472	6537	7283
473	6553	7272
474	6566	7257
475	6580	7244
476	6592	7228
477	6606	7214
478	6618	7199
479	6631	7184
480	6644	7169
481	6660	7157
482	6672	7142
483	6687	7129
484	6703	7117
485	6716	7103
486	6732	7091
487	6745	7077
488	6761	7065
489	6776	7052
490	6792	7041
491	6807	7028
492	6823	7017
493	6838	7005
494	6852	6991
495	6865	6976
496	6879	6962
497	6893	6949
498	6909	6936
499	6921	6921
500	6936	6908
501	6950	6895
502	6965	6882
503	6981	6870
504	6996	6857
505	7010	6844
506	7026	6832
507	7041	6819
508	7055	6805
509	7066	6789
510	7082	6778
511	7096	6763
512	7110	6749
513	7125	6737
514	7138	6722
515	7152	6709
516	7177	6705
517	7189	6689
518	7202	6675
519	7216	6661
520	7229	6646
521	7245	6634
522	7271	6631
523	7286	6619
524	7300	6604
525	7311	6588
526	7323	6572
527	7338	6560
528	7349	6544
529	7362	6529
530	7377	6516
531	7391	6502
532	7401	6485
533	7413	6469
534	7427	6456
535	7441	6442
536	7455	6428
537	7472	6416
538	7486	6403
539	7499	6388
540	7514	6375
541	7528	6362
542	7540	6346
543	7554	6332
544	7569	6319
545	7582	6305
546	7596	6291
547	7610	6277
548	7621	6261
549	7636	6248
550	7649	6233
551	7663	6219
552	7677	6205
553	7690	6191
554	7705	6178
555	7719	6164
556	7732	6150
557	7746	6136
558	7760	6122
559	7774	6108
560	7787	6094
561	7800	6079
562	7814	6065
563	7829	6052
564	7843	6038
565	7856	6024
566	7872	6011
567	7885	5997
568	7899	5983
569	7914	5970
570	7927	5956
571	7942	5942
572	7954	5927
573	7968	5913
574	7981	5899
575	7992	5883
576	8006	5869
577	8019	5855
578	8031	5839
579	8046	5826
580	8058	5811
581	8072	5797
582	8085	5783
583	8099	5769
584	8111	5754
585	8127	5741
586	8142	5728
587	8154	5713
588	8170	5701
589	8184	5687
590	8198	5673
591	8212	5659
592	8226	5646
593	8240	5632
594	8264	5625
595	8278	5611
596	8292	5598
597	8306	5583
598	8320	5570
599	8334	5556
600	8348	5542
601	8361	5528
602	8375	5514
603	8387	5499
604	8402	5485
605	8414	5470
606	8428	5456
607	8441	5442
608	8459	5431
609	8472	5416
610	8485	5402
611	8498	5387
612	8512	5373
613	8525	5359
614	8540	5346
615	8555	5333
616	8570	5319
617	8583	5305
618	8599	5292
619	8608	5276
620	8621	5261
621	8636	5248
622	8649	5234
623	8663	5220
624	8676	5205
625	8690	5192
626	8703	5177
627	8731	5172
628	8748	5159
629	8764	5147
630	8779	5133
631	8792	5119
632	8804	5104
633	8819	5091
634	8833	5077
635	8847	5063
636	8859	5048
637	8873	5034
638	8893	5024
639	8907	5010
640	8920	4996
641	8933	4981
642	8947	4967
643	8963	4954
644	8976	4940
645	8990	4926
646	9004	4912
647	9019	4899
648	9032	4885
649	9046	4871
650	9060	4857
651	9073	4842
652	9087	4828
653	9103	4816
654	9118	4802
655	9132	4789
656	9145	4774
657	9160	4761
658	9174	4747
659	9189	4734
660	9202	4719
661	9216	4705
662	9228	4691
663	9255	4683
