iter	RMSE
0	629.912242
1	609.224034
2	591.1415446
3	573.6232021
4	554.8166829
5	538.7597669
6	520.9431592
7	506.0788612
8	491.9365666
9	477.5514663
10	463.836697
11	451.6200608
12	439.4306405
13	427.7061879
14	416.0363698
15	404.6425236
16	394.2788746
17	383.9249637
18	374.081959
19	365.2231212
20	355.9396815
21	346.8235721
22	338.3398458
23	330.0445372
24	321.2638973
25	313.3982389
26	305.9076243
27	298.8845048
28	291.8376694
29	285.301558
30	279.3121224
31	272.3853543
32	266.071758
33	260.5864941
34	255.1869908
35	249.7394578
36	244.2696786
37	239.6349134
38	234.880614
39	230.4620467
40	225.3316321
41	220.9696038
42	216.3150406
43	211.7500093
44	207.7297116
45	204.1820986
46	200.5390817
47	196.6315816
48	193.0469372
49	189.6546351
50	186.5234819
51	183.5938412
52	180.4782712
53	177.4644801
54	174.8622458
55	172.1395881
56	169.2321276
57	166.0825084
58	163.4611735
59	161.1094544
60	158.6987321
61	156.2431063
62	154.0605731
63	151.8327085
64	149.3873484
65	147.1012207
66	144.9233926
67	142.9601401
68	140.7311554
69	138.8644426
70	136.8396189
71	134.7595805
72	133.0798503
73	131.3295924
74	129.4106382
75	127.7777344
76	126.3374701
77	124.9366895
78	123.4487512
79	122.1261996
80	120.5658975
81	119.2516904
82	118.040452
83	116.842832
84	115.5107075
85	114.22226
86	112.9859757
87	111.6065212
88	110.6274731
89	109.5103918
90	108.2496381
91	107.1604202
92	106.1014816
93	105.0279237
94	104.1699152
95	102.9680831
96	101.9590183
97	101.1707808
98	100.0312613
99	99.02384997
100	98.12735552
101	97.28253202
102	96.23091293
103	95.25099866
104	94.49475168
105	93.70987416
106	93.03199178
107	92.12849594
108	91.33834952
109	90.8335854
110	90.19179933
111	89.68715916
112	88.97175259
113	88.18910757
114	87.62457666
115	86.7321454
116	86.07424111
117	85.59895501
118	85.07539231
119	84.42124102
120	83.84497426
121	83.20851509
122	82.6953181
123	82.22643358
124	81.79211942
125	81.26257341
126	80.75071671
127	79.9170209
128	79.38688265
129	78.70220082
130	78.20404522
131	77.72761549
132	77.29082287
133	76.80796881
134	76.4424777
135	75.92225276
136	75.68380146
137	75.29193218
138	74.7881474
139	74.36526497
140	73.96387376
141	73.38460945
142	73.06738349
143	72.39254816
144	71.89715456
145	71.46198881
146	70.79816568
147	70.30744358
148	69.91506413
149	69.58934444
150	69.06716877
151	68.73960292
152	67.92511513
153	67.43427552
154	67.0646665
155	66.66801991
156	66.34177727
157	66.01146109
158	65.4418138
159	64.97862801
160	64.70447278
161	64.20842971
162	63.86486123
163	63.44538836
164	63.00093208
165	62.85480804
166	62.5734737
167	62.42974648
168	61.87455758
169	61.59963764
170	61.34302327
171	60.94205772
172	60.39832801
173	59.92452747
174	59.61822949
175	59.24412222
176	58.67303306
177	58.27882704
178	57.98474315
179	57.55161807
180	57.00414869
181	56.79510741
182	56.54722454
183	56.24041514
184	55.98675015
185	55.45349334
186	55.29293523
187	54.9233492
188	54.74723522
189	54.24739356
190	53.99953671
191	53.73438393
192	53.33302872
193	52.85442264
194	52.53323644
195	52.12792838
196	51.96273856
197	51.77550568
198	51.57516088
199	51.23272061
200	50.82511404
201	50.65738519
202	50.46029683
203	50.10247178
204	49.93100452
205	49.3817904
206	49.14499544
207	48.9090546
208	48.79054808
209	48.51135428
210	48.25871758
211	47.95415926
212	47.59272286
213	47.09789311
214	46.82064903
215	46.40854172
216	46.24716809
217	46.00439596
218	45.7322008
219	45.58466453
220	45.27992773
221	45.05231458
222	44.84509358
223	44.47632128
224	44.16666584
225	43.92537104
226	43.63933457
227	43.41092019
228	43.05745148
229	42.941211
230	42.70315139
231	42.40576521
232	42.21967107
233	42.04637897
234	41.73049473
235	41.43656454
236	41.1247868
237	40.89531203
238	40.57632416
239	40.24445455
240	39.87342029
241	39.63619653
242	39.42231389
243	39.26498245
244	39.07048565
245	38.86329992
246	38.55025149
247	38.31924891
248	38.0385288
249	37.76266913
250	37.5141743
251	37.27247306
252	37.0010142
253	36.71727529
254	36.48043256
255	36.20776469
256	35.90103763
257	35.56237559
258	35.3105433
259	35.04009418
260	34.79608423
261	34.53011698
262	34.42756342
263	34.14321104
264	33.94765521
265	33.73964825
266	33.54582192
267	33.25145109
268	33.00317861
269	32.69723388
270	32.37368676
271	32.10377436
272	31.87970789
273	31.59180892
274	31.32636382
275	31.15052451
276	30.85911293
277	30.64815575
278	30.43182152
279	30.26943979
280	30.14386745
281	29.87971717
282	29.64172913
283	29.42092853
284	29.14725619
285	28.89492839
286	28.66560944
287	28.4564051
288	28.07784152
289	27.89398798
290	27.57234341
291	27.28704137
292	27.13462948
293	26.8776576
294	26.71309616
295	26.60869771
296	26.43681941
297	26.30495505
298	26.11672494
299	25.85441278
300	25.64850475
301	25.48680455
302	25.2394096
303	25.03397691
304	24.78184034
305	24.65961043
306	24.4655535
307	24.30635346
308	24.06746078
309	23.86092872
310	23.68663633
311	23.49508916
312	23.32604506
313	23.09183783
314	22.8763703
315	22.73231926
316	22.59435778
317	22.42299772
318	22.31993814
319	22.19431918
320	22.0144892
321	21.85275604
322	21.74377292
323	21.50472902
324	21.36847385
325	21.18302879
326	21.0914337
327	21.00966305
328	20.81657709
329	20.6652806
330	20.4810477
331	20.3419115
332	20.18707504
333	20.03631172
334	19.92877781
335	19.79295278
336	19.63007613
337	19.51170779
338	19.36356289
339	19.22518436
340	19.08057874
341	18.92388286
342	18.74025204
343	18.60300662
344	18.47225724
345	18.33122969
346	18.17254571
347	18.04710942
348	17.92921182
349	17.79495404
350	17.67830046
351	17.51846836
352	17.39837463
353	17.28323007
354	17.18095654
355	17.10258871
356	16.9741541
357	16.83771465
358	16.66081319
359	16.59311754
360	16.45922954
361	16.42140028
